id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_day,dropoff_day,pickup_day_no,dropoff_day_no,pickup_hour,dropoff_hour,pickup_month,dropoff_month,pickup_timeofday,dropoff_timeofday,distance
id0951863,2,2016-04-25T16:38:16.000Z,2016-04-25T16:58:52.000Z,2,-73.99830627441406,40.75067138671875,-73.95801544189453,40.76059341430664,N,1236,Monday,Monday,4,4,16,16,4,4,Evening,Evening,3.5685439962885774
id2147100,2,2016-02-17T19:52:39.000Z,2016-02-17T19:55:31.000Z,6,-73.98709869384766,40.76087188720703,-73.98368072509766,40.76559829711914,N,172,Wednesday,Wednesday,3,3,19,19,2,2,Night,Night,0.5992262646429587
id1412547,2,2016-04-18T23:12:37.000Z,2016-04-18T23:17:38.000Z,6,-73.98861694335938,40.74871063232422,-73.98893737792969,40.75833511352539,N,301,Monday,Monday,4,4,23,23,4,4,Night,Night,1.0705353084485907
id3459805,2,2016-05-04T23:17:44.000Z,2016-05-04T23:37:05.000Z,1,-73.9851303100586,40.729190826416016,-73.96363830566406,40.77547073364258,N,1161,Wednesday,Wednesday,4,4,23,23,5,5,Night,Night,5.455250926345001
id0980827,2,2016-03-30T12:19:08.000Z,2016-03-30T12:22:20.000Z,1,-73.9815673828125,40.78074264526367,-73.9865493774414,40.778343200683594,N,192,Wednesday,Wednesday,2,2,12,12,3,3,Afternoon,Afternoon,0.4971445774048706
id0678961,2,2016-01-02T00:30:39.000Z,2016-01-02T00:42:44.000Z,5,-73.98368835449219,40.67631149291992,-73.94244384765625,40.684173583984375,N,725,Saturday,Saturday,2,2,0,0,1,1,Night,Night,3.586166576932736
id3486704,2,2016-02-15T04:18:35.000Z,2016-02-15T04:36:25.000Z,1,-73.9842529296875,40.75762939453125,-73.87339782714844,40.77437210083008,N,1070,Monday,Monday,1,1,4,4,2,2,Night,Night,9.519723949570107
id3759496,2,2016-02-20T20:40:10.000Z,2016-02-20T20:51:24.000Z,1,-74.00676727294922,40.74870681762695,-73.98914337158203,40.77739715576172,N,674,Saturday,Saturday,6,6,20,20,2,2,Night,Night,3.5186197441112568
id2746644,1,2016-03-06T03:15:41.000Z,2016-03-06T03:28:48.000Z,1,-74.00253295898438,40.73937225341797,-74.00550842285156,40.70923614501953,N,787,Sunday,Sunday,6,6,3,3,3,3,Night,Night,3.3603550861576137
id3079723,1,2016-01-12T20:00:15.000Z,2016-01-12T20:05:50.000Z,1,-73.98606872558594,40.74699020385742,-73.99610137939453,40.732601165771484,N,335,Tuesday,Tuesday,5,5,20,20,1,1,Night,Night,1.809537392912662
id0990737,1,2016-04-12T22:47:48.000Z,2016-04-12T23:00:27.000Z,1,-74.00736999511719,40.740108489990234,-73.97650146484375,40.76570510864258,N,759,Tuesday,Tuesday,5,5,22,23,4,4,Night,Night,3.8551087186697326
id0367155,1,2016-03-20T21:29:34.000Z,2016-03-20T21:36:40.000Z,1,-73.97864532470703,40.7807731628418,-73.95735931396484,40.773441314697266,N,426,Sunday,Sunday,6,6,21,21,3,3,Night,Night,1.9690539421171231
id1819621,2,2016-02-21T04:20:46.000Z,2016-02-21T04:30:43.000Z,1,-73.95684051513672,40.81272888183594,-73.93280792236328,40.79970169067383,N,597,Sunday,Sunday,7,7,4,4,2,2,Night,Night,2.4879256754720105
id0123420,2,2016-01-25T19:03:45.000Z,2016-01-25T19:11:22.000Z,1,-73.98530578613281,40.74470138549805,-73.98396301269531,40.750633239746094,N,457,Monday,Monday,4,4,19,19,1,1,Night,Night,0.669222055750843
id0807154,1,2016-01-03T03:05:33.000Z,2016-01-03T03:17:22.000Z,1,-73.9836196899414,40.76045608520508,-73.94111633300781,40.789249420166016,N,709,Sunday,Sunday,3,3,3,3,1,1,Night,Night,4.802108915293888
id3899930,1,2016-02-27T14:57:35.000Z,2016-02-27T15:02:36.000Z,2,-73.9422607421875,40.75399398803711,-73.95128631591797,40.74663543701172,N,301,Saturday,Saturday,6,6,14,15,2,2,Evening,Evening,1.1169360509964463
id1092508,1,2016-02-27T19:31:37.000Z,2016-02-27T19:54:10.000Z,1,-73.98212432861328,40.77119445800781,-73.98164367675781,40.749107360839844,N,1353,Saturday,Saturday,6,6,19,19,2,2,Night,Night,2.4563102417123206
id1936551,1,2016-05-25T16:56:13.000Z,2016-05-25T17:04:01.000Z,3,-73.99897003173828,40.7445182800293,-73.99320220947266,40.74879837036133,N,468,Wednesday,Wednesday,4,4,16,17,5,5,Evening,Evening,0.6801433795651738
id1580463,2,2016-01-14T18:57:41.000Z,2016-01-14T19:04:15.000Z,1,-73.96096801757812,40.76055908203125,-73.9649887084961,40.771728515625,N,394,Thursday,Thursday,7,7,18,19,1,1,Night,Night,1.287317636723398
id3161802,1,2016-05-10T22:13:11.000Z,2016-05-10T22:27:24.000Z,1,-73.97809600830078,40.76386642456055,-73.9731674194336,40.74801254272461,N,853,Tuesday,Tuesday,3,3,22,22,5,5,Night,Night,1.8110937994669196
